,source,target,weight
714,far,anywhere,4
715,far,becoming,4
716,far,way,4
717,far,spain,4
718,far,spaniard,4
719,far,tote,4
720,far,technology,4
721,far,service,4
722,anywhere,rap,4
723,anywhere,dial,4
724,anywhere,trouble,4
725,anywhere,abroad,4
726,anywhere,everywhere,4
727,anywhere,de,4
728,anywhere,chance,4
729,anywhere,tracks,4
730,anywhere,really,4
731,anywhere,accessible,4
732,anywhere,latin,4
733,anywhere,far,4
734,anywhere,becoming,4
735,anywhere,way,4
736,anywhere,spain,4
737,anywhere,spaniard,4
738,anywhere,tote,4
739,anywhere,technology,4
740,anywhere,service,4
741,definitely,group,4
742,definitely,go,4
743,definitely,exposure,4
744,look,group,4
745,look,go,4
746,look,exposure,4
747,look,definitely,4
748,listeners,spin,4
749,listeners,likely,4
750,listeners,work,3
751,listeners,bringing,3
752,listeners,caballeros,3
753,listeners,g,3
754,listeners,one,15
755,listeners,acts,15
756,listeners,devoted,15
757,listeners,base,4
758,listeners,native,15
759,listeners,mexican,4
760,listeners,two,4
761,listeners,change,4
762,listeners,wanted,15
763,listeners,globally,15
764,listeners,streamed,15
765,listeners,suddenly,15
766,listeners,argentina,15
767,listeners,pushing,15
768,listeners,across,15
769,listeners,accounting,15
770,listeners,king,15
771,listeners,contra,15
772,across,spin,4
773,across,likely,4
774,across,work,3
775,across,bringing,3
776,across,caballeros,3
777,across,g,3
778,across,one,15
779,across,acts,15
780,across,devoted,15
781,across,base,4
782,across,native,15
783,across,mexican,4
784,across,two,4
785,across,change,4
786,across,wanted,15
787,across,globally,15
788,across,streamed,15
789,across,suddenly,15
790,across,argentina,15
791,across,pushing,15
792,across,accounting,15
793,across,king,15
794,across,contra,15
795,leads,plan,15
796,leads,mexico,15
797,leads,hottest,15
798,leads,fan,15
799,leads,set,15
800,leads,make,15
801,leads,player,15
802,leads,net,15
803,leads,values,15
804,leads,mustafa,15
805,leads,months,15
806,leads,firmly,15
807,leads,track,15
808,way,plan,15
809,way,mexico,15
810,way,hottest,15
811,way,fan,15
812,way,set,15
813,way,make,15
814,way,player,15
815,way,net,15
816,way,values,15
817,way,mustafa,15
818,way,months,15
819,way,leads,15
820,way,firmly,15
821,way,track,15
822,accounting,work,6
823,accounting,bringing,6
824,accounting,caballeros,6
825,accounting,g,6
826,accounting,group,4
827,accounting,go,4
828,accounting,exposure,4
829,accounting,definitely,4
830,surfers,work,6
831,surfers,bringing,6
832,surfers,caballeros,6
833,surfers,g,6
834,surfers,group,4
835,surfers,go,4
836,surfers,exposure,4
837,surfers,definitely,4
838,well,surprising,6
839,well,leader,6
840,well,bbc,6
841,well,boston,6
842,traffic,surprising,6
843,traffic,leader,6
844,traffic,bbc,6
845,traffic,boston,6
846,many,logging,6
847,many,comes,6
848,consider,logging,6
849,consider,comes,6
850,still,work,6
851,still,bringing,6
852,still,caballeros,6
853,still,g,6
854,still,group,4
855,still,go,4
856,still,exposure,4
857,still,definitely,4
858,firmly,work,6
859,firmly,bringing,6
860,firmly,caballeros,6
861,firmly,g,6
862,firmly,group,4
863,firmly,go,4
864,firmly,exposure,4
865,firmly,definitely,4
866,tote,spin,4
867,tote,likely,4
868,tote,work,3
869,tote,bringing,3
870,tote,caballeros,3
871,tote,g,3
872,tote,one,15
873,tote,acts,15
874,tote,devoted,15
875,tote,base,4
876,tote,native,15
877,tote,mexican,4
878,tote,two,4
879,tote,change,4
880,tote,wanted,15
881,tote,globally,15
882,tote,streamed,15
883,tote,suddenly,15
884,tote,argentina,15
885,tote,pushing,15
886,tote,across,15
887,tote,accounting,15
888,tote,king,15
889,tote,contra,15
890,king,spin,4
891,king,likely,4
892,king,work,3
893,king,bringing,3
894,king,caballeros,3
895,king,g,3
896,king,one,15
897,king,acts,15
898,king,devoted,15
899,king,base,4
900,king,native,15
901,king,mexican,4
902,king,two,4
903,king,change,4
904,king,wanted,15
905,king,globally,15
906,king,streamed,15
907,king,suddenly,15
908,king,argentina,15
909,king,pushing,15
910,king,across,15
911,king,accounting,15
912,king,contra,15
913,track,plan,15
914,track,mexico,15
915,track,hottest,15
916,track,fan,15
917,track,set,15
918,track,make,15
919,track,player,15
920,track,net,15
921,track,values,15
922,track,mustafa,15
923,track,months,15
924,track,leads,15
925,track,firmly,15
926,uno,plan,15
927,uno,mexico,15
928,uno,hottest,15
929,uno,fan,15
930,uno,set,15
931,uno,make,15
932,uno,player,15
933,uno,net,15
934,uno,values,15
935,uno,mustafa,15
936,uno,months,15
937,uno,leads,15
938,uno,firmly,15
939,uno,track,15
940,correspondent,group,4
941,correspondent,go,4
942,correspondent,exposure,4
943,correspondent,definitely,4
944,bbc,group,4
945,bbc,go,4
946,bbc,exposure,4
947,bbc,definitely,4
948,service,logging,6
949,service,comes,6
950,wgbh,logging,6
951,wgbh,comes,6
